index,residualEnergy,planeIndex,subPlaneIndex,triangleIndex,reflectionDirectionX,reflectionDirectionY,reflectionDirectionZ
0,5.12,0,0,0,0,1,0	
1,3.2768,1,0,0,0,-1,0	
2,2.09715,0,0,0,0,1,0	
3,1.34218,1,0,0,0,-1,0	
4,0.858993,0,0,0,0,1,0	
5,0.549756,1,0,0,0,-1,0	
6,0.351844,0,0,0,0,1,0	
7,0.22518,1,0,0,0,-1,0	
8,0.144115,0,0,0,0,1,0	
9,0.0922337,1,0,0,0,-1,0	
10,0.0590296,0,0,0,0,1,0	
11,0.0377789,1,0,0,0,-1,0	
12,0.0241785,0,0,0,0,1,0	
13,0.0154743,1,0,0,0,-1,0	
14,0.00990352,0,0,0,0,1,0	
15,0.00633825,1,0,0,0,-1,0	
16,0.00405648,0,0,0,0,1,0	
17,0.00259615,1,0,0,0,-1,0	
18,0.00166153,0,0,0,0,1,0	
19,0.00106338,1,0,0,0,-1,0	
20,0.000680565,0,0,0,0,1,0	
21,0.000435561,1,0,0,0,-1,0	
22,0.000278759,0,0,0,0,1,0	
23,0.000178406,1,0,0,0,-1,0	
24,0.00011418,0,0,0,0,1,0	
25,7.30751e-05,1,0,0,0,-1,0	
26,4.67681e-05,0,0,0,0,1,0	
27,2.99316e-05,1,0,0,0,-1,0	
28,1.91562e-05,0,0,0,0,1,0	
29,1.226e-05,1,0,0,0,-1,0	
30,7.84638e-06,0,0,0,0,1,0	
31,5.02168e-06,1,0,0,0,-1,0	
32,3.21388e-06,0,0,0,0,1,0	
33,2.05688e-06,1,0,0,0,-1,0	
34,1.3164e-06,0,0,0,0,1,0	
35,8.42498e-07,1,0,0,0,-1,0	
36,5.39199e-07,0,0,0,0,1,0	
37,3.45087e-07,1,0,0,0,-1,0	
38,2.20856e-07,0,0,0,0,1,0	
39,1.41348e-07,1,0,0,0,-1,0	
40,9.04626e-08,0,0,0,0,1,0	
41,5.7896e-08,1,0,0,0,-1,0	
42,3.70535e-08,0,0,0,0,1,0	
43,2.37142e-08,1,0,0,0,-1,0	
44,1.51771e-08,0,0,0,0,1,0	
45,9.71334e-09,1,0,0,0,-1,0	
46,6.21654e-09,0,0,0,0,1,0	
47,3.97859e-09,1,0,0,0,-1,0	
48,2.54629e-09,0,0,0,0,1,0	
49,1.62963e-09,1,0,0,0,-1,0	
